[GEN 99] [MIGRATION] Island 1 <- Island 0 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 0 <- Island 9 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 8 <- Island 7 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 4 <- Island 3 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 3 <- Island 2 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 6 <- Island 5 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 5 <- Island 4 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 7 <- Island 6 | best-worst | migrants = 20
[GEN 899] [MIGRATION] Island 2 <- Island 1 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 4 <- Island 3 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 6 <- Island 5 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 3 <- Island 2 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 8 <- Island 7 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 1 <- Island 0 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 2 <- Island 1 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 9 <- Island 8 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 7 <- Island 6 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 5 <- Island 4 | best-worst | migrants = 20
[GEN 999] [MIGRATION] Island 0 <- Island 9 | best-worst | migrants = 20
